drinker,bar
"Bertie Nicholson","Bohemian Hall & Beer Garden"
"Bertie Nicholson","The Aviary NYC"
"Bertie Wells","Grand Banks"
"Bertie Wells",LENA
"Bertram Barrett",Barcade
"Bertram Barrett","Blue Bar"
"Bertram Barrett","Clover Club"
"Bertram Caldwell","Bemelmans Bar"
"Bertram Caldwell","Connolly's Bar"
"Bertram Caldwell",Killmeyer's
"Bertram Kaiser",7B
"Bertram York","Bemelmans Bar"
"Bertram York","Townhouse of New York"
"Bessie Hudson",Barcade
"Bessie Hudson","Old Town Bar"
"Bessie Jacobs",Rudy's
"Bessie Jacobs","The Long Island Bar"
"Bessie Soto",PDT
"Bessie Soto","Townhouse of New York"
"Beth Lindsey",Rudy's
"Beth Lindsey","The Summit Bar"
"Beth Munoz","Lee's Tavern"
"Beth Rios","Dear Irving"
"Bethany Bowers","Bar Nine"
"Bethany Bowers","Little Branch"
"Bethany Bowers",Mace
"Bethany Bowers","Tonic Bar"
"Bethany Hess","Blue Bar"
"Bethany Hess","Old Town Bar"
"Bethany Hess","The Wayland"
"Betsy Benton","Clockwork Bar"
"Betsy Hays","the Campbell"
"Betsy Murray","Amor y Amargo"
"Betsy Rocha","Employees Only"
"Betsy Rocha","The Honeywell"
"Betsy Ross","Blue Bar"
"Bette Benjamin","Copper & Oak"
"Bette Benjamin",Leyenda
"Bette Diaz",Killmeyer's
"Bette Diaz",Mayahuel
"Bette Diaz",PDT
"Bette Diaz","Spring Lounge"
"Betty Wilkins",7B
"Betty Wilkins","Old Town Bar"
"Betty Wilkins","Pegu Club"
"Betty Wilkins","Townhouse of New York"
"Beulah Allen","The Wayland"
"Beverley Rhodes","Blue Bar"
"Beverley Rhodes","Pegu Club"
"Beverley Roy","Lucy's a.k.a. Blanche's Tavern"
"Beverley Roy","The Dead Rabbit"
"Beverley Roy",Torst
"Beverly Arias","169 Bar"
"Beverly Arias","Connolly's Bar"
"Beverly Arias","Pegu Club"
"Beverly Elliott","Blue Bar"
"Beverly Elliott","Dear Irving"
"Beverly Frost","Bar Goto"
"Beverly Frost","Keats Bar"
"Bianca Boyer","169 Bar"
"Bianca Boyer","Clover Club"
"Bianca Boyer","Dear Irving"
"Bianca Olsen",Attaboy
"Bianca Schwartz","Old Town Bar"
"Bianka Almond","Blue Bar"
"Bianka Almond","Dear Irving"
"Bianka Almond","KGB Bar"
"Bianka Almond","Spring Lounge"
"Bill Ali","Ghost Donkey"
"Bill Hampton","Bohemian Hall & Beer Garden"
"Bill Hampton","The Aviary NYC"
"Billy Craig","Amor y Amargo"
"Billy Craig","Lucy's a.k.a. Blanche's Tavern"
"Blade Beck","King Cole Bar"
"Blade Beck","Maison Premiere"
"Blaine Ali",Donna
"Blaine Ali",Mona's
"Blaine Ali","Old Town Bar"
"Blaine Flynn","Aldo Sohm Wine Bar"
"Blaine Yoder","The Counting Room"
"Blaine Yoder","Tonic Bar"
"Blair Armstrong","Employees Only"
"Blair Armstrong","Tonic Bar"
"Blake Gould","Pegu Club"
"Blake Mitchell",Killmeyer's
"Blake Mitchell","Lee's Tavern"
"Blake Mitchell",Mayahuel
"Blake Mitchell","Pegu Club"
"Blanca Weaver","Tonic Bar"
"Blanche Graham","Connolly's Bar"
"Blanche Graham","Pegu Club"
"Blanche Hendrix","Aldo Sohm Wine Bar"
"Blanche Hendrix","Connolly's Bar"
"Blanche Hendrix","Lee's Tavern"
"Blanche Hendrix",PDT
"Blanche Mccoy","Dear Irving"
"Blanche Mccoy","KGB Bar"
"Blanche Oneal","Clockwork Bar"
"Blanche Oneal",Rudy's
"Blanche Oneal","The Central Bar"
"Bob Velasquez",Donna
"Bob Velasquez","Raines Law Room"
"Bobbi Taylor","Dear Irving"
"Bobbi Taylor",Mona's
"Bobbi Vaughan","McSorley's Old Ale House"
"Bobbi Vaughan","The Central Bar"
"Bobbi Vaughan","The Ginger Man"
"Bobbie Moss","Please Don't Tell"
"Bobbie Moss","The Iron Horse Nyc"
"Bobbie Schneider","Clover Club"
"Bobby Clark","Connolly's Bar"
"Bobby Clark","Lee's Tavern"
"Bobby Clark","The Wayland"
"Bobby Greer","Gallow Green"
"Bobby Greer",Subject
"Bonita Garza","e's Bar"
"Bonita Garza","Ghost Donkey"
"Bonita Garza","The Iron Horse Nyc"
"Booker Crane","Bemelmans Bar"
"Booker Crane",Mona's
"Booker Crane","Spring Lounge"
"Boris Cervantes","The Ginger Man"
"Boris Cervantes","Ty Bar"
"Boyce Briggs","The Pony Bar"
"Boyce Clements",Barcade
"Boyce Clements","Raines Law Room"
"Boyce Clements","Spring Lounge"
"Boyd Gates",Donna
"Boyd Gates",PDT
"Bradford Gentry",Apotheke
"Bradford Gentry","Bar Sixtyfive"
"Bradford Yates",Mona's
"Bradford Yates","The Wayland"
"Bradley Daugherty","KGB Bar"
"Bradly Hanson","Alewife Queens"
"Bradly Hanson",Nowhere
"Bradly Mccann",7B
"Bradly Mccann","Aldo Sohm Wine Bar"
"Bradly Mccann",Mayahuel
"Brady Cortez","Bar Sixtyfive"
"Brady Cortez",Boxer
"Brady Cortez","Keats Bar"
"Brady Cortez","The Up & Up"
"Brady Murillo","Employees Only"
"Brady Murillo",Nitecap
"Brady Murillo","Rose Bar"
"Brady Spence",Donna
"Brady Spence","Old Town Bar"
"Brain Alexander",Barcade
"Brain Alexander","Raines Law Room"
"Brain Conrad",Barcade
"Brain Rush","Little Branch"
"Brain Velasquez",7B
"Brain Velasquez","Blue Bar"
"Brain Velasquez","Clover Club"
"Brain Velasquez","KGB Bar"
"Brandan Zhang",Nitecap
"Branden Ballard",Julius'
"Branden Ballard","Orange Street"
"Brandi Briggs","McSorley's Old Ale House"
"Brandi Briggs","The Ginger Man"
"Brandi Briggs","The NoMad Bar"
"Brandi Reilly","ABC Beer Co."
"Brandi Reilly","Phoenix Bar"
"Brandie Moore","Rose Bar"
"Brandie Patel","Holiday Cocktail Lounge"
"Brandie Patel","McSorley's Old Ale House"
"Brandie Richards","KGB Bar"
"Brandie Richards",PDT
"Brandon Combs","Dead Rabbit"
"Brandon Combs","The Ginger Man"
"Brandon Mckinney","Clover Club"
"Brandon Mckinney",Mona's
"Brandon Mckinney","Old Town Bar"
"Brandy Ferrell",7B
"Brandy Ferrell","Dear Irving"
"Brandy Ferrell","Spring Lounge"
"Brandy Lowery","Orange Street"
"Brant Rowe","Bemelmans Bar"
"Brant Rowe",PDT
"Brant Rowe","The Wayland"
"Brenda Mclean","KGB Bar"
"Brenda Mclean",Killmeyer's
"Brenda Mclean","Old Town Bar"
"Brenda Mclean",PDT
"Brenda Odom","Dutch Kills"
"Brenda Odom","The Aviary NYC"
"Brendan Pugh",d.b.a.
"Brendan Pugh","Holiday Cocktail Lounge"
"Brendan Pugh",Nowhere
"Brendan Pugh","The 13th Step"
"Brendon Calhoun","ABC Beer Co."
"Brendon Calhoun","The Dead Rabbit"
"Brendon Calhoun",Torst
"Brent Conrad","The Wayland"
"Brent Conrad","Townhouse of New York"
"Brent Weber","Holiday Cocktail Lounge"
"Brent Weber","The NoMad Bar"
"Brenton Figueroa","Bar Sixtyfive"
"Brenton Pratt","Bemelmans Bar"
"Brenton Pratt",Killmeyer's
"Bret Barrett",Boxer
"Bret Grimes","Amor y Amargo"
"Bret Russell","The Iron Horse Nyc"
"Bret Russell","Until Tomorrow"
"Brett Brewer","Death & Company"
"Brett Brewer",LENA
"Brian Humphrey","Holiday Cocktail Lounge"
"Brian Humphrey","McSorley's Old Ale House"
"Brian Humphrey",Primo's
"Brian Humphrey",Rudy's
"Briana Berger",Attaboy
"Briana Berger","Holiday Cocktail Lounge"
"Briana Berger","Jimmy's corner"
"Briana Christian","Rainbow Room"
"Briana Cooke","Bar Goto"
"Briana Cooke","Rose Bar"
"Briana Cooke","The Honeywell"
"Briana Douglas",Barcade
"Briana Douglas",Mayahuel
"Briana Douglas","Pegu Club"
"Briana Pierce","The Wayland"
"Brianna Arnold","Alewife Queens"
"Brianna Arnold",d.b.a.
"Brianna Arnold","Jimmy's corner"
"Brianna Sloan","Clover Club"
"Brianna Sloan","Connolly's Bar"
"Brianna Sloan","Old Town Bar"
"Brianna Sloan","The Wayland"
"Brice Harrison",Attaboy
"Brice Harrison","The Long Island Bar"
"Brice Harrison","The Ship"
"Brice Mcintosh","The Central Bar"
"Brice Oneal","the Campbell"
"Bridgett Hale",Dante
"Bridgett Simpson","Blue Bar"
"Bridgett Simpson","Lee's Tavern"
"Bridgette Conner","Dutch Kills"
"Bridgette Conner","King Cole Bar"
"Bridgette Conner","The Aviary NYC"
"Bridgette Conner","Until Tomorrow"
"Brigitte Gutierrez","Beauty Bar"
"Brigitte Gutierrez",Nowhere
"Brigitte Gutierrez","The Long Island Bar"
"Brigitte Irwin",Nowhere
"Brigitte Irwin",Rudy's
"Brigitte Irwin","Ty Bar"
"Brigitte Meza",Mayahuel
"Brigitte Rosales","Grand Banks"
"Brigitte Rosales","Zinc Bar"
"Britt Mclaughlin",Barcade
"Britt Mclaughlin",PDT
"Britt Mclaughlin","The Wayland"
"Brittany Byrd",7B
"Brittany Byrd","KGB Bar"
"Brittany Byrd","The Wayland"
"Brittany Tucker","Rainbow Room"
"Brittney Pena","Bar Goto"
"Brock Durham",Boxer
"Brock Durham","Copper & Oak"
"Brock Villa","The NoMad Bar"
"Broderick Padilla","169 Bar"
"Broderick Padilla","Bemelmans Bar"
"Bruno Archer","Alewife Queens"
"Bruno Archer","McSorley's Old Ale House"
"Bruno Archer","The Ginger Man"
"Bruno Bauer","169 Bar"
"Bruno Bauer",Mayahuel
"Bruno Bauer",PDT
"Bryan Fisher","Sugar East"
"Bryan Fisher","The NoMad Bar"
"Bryan Holloway",Barcade
"Bryan Holloway","Clover Club"
"Bryan Holloway",Killmeyer's
"Bryant Mcpherson","KGB Bar"
"Bryce English",Mayahuel
"Bryce English","Pegu Club"
"Bryce Ho","Grand Banks"
"Bryce Paterson",Rudy's
"Bryce Sampson","The Pony Bar"
"Bryce Stevenson","Blue Bar"
"Bryce Stevenson",Killmeyer's
"Bryon Dennis",7B
"Bryon Dennis","Pegu Club"
"Bryon Dennis","Townhouse of New York"
"Buck Vance","Tonic Bar"
"Bud Harper",Barcade
"Buddy Lucero",Donna
"Buddy Lucero","Spring Lounge"
"Buford Rice",Boxer
"Buford Rice","Orange Street"
"Buford Wall","Aldo Sohm Wine Bar"
"Burl Blevins",Donna
"Burl Blevins","Old Town Bar"
"Burl Blevins","Spring Lounge"
"Burl Murillo","KGB Bar"
"Burl Murillo",Killmeyer's
"Burl Murillo",Mona's
"Burl Villanueva",Barcade
"Burl Villanueva",Donna
"Burl Villanueva","Townhouse of New York"
"Burt Shields","Spring Lounge"
"Burton Middleton","Clover Club"
"Burton Padilla","Bemelmans Bar"
"Burton Padilla",Killmeyer's
"Burton Padilla","The Wayland"
"Buster Hale","Amor y Amargo"
"Buster Hale","Dive Bar"
"Buster Hale","Ghost Donkey"
"Buster Kerr","Bohemian Hall & Beer Garden"
"Buster Wiley","Townhouse of New York"
"Byron Sexton","Alewife Queens"
"Byron Sexton","The Ship"
"Byron Sexton","The Summit Bar"
"Caitlin Jordan","The Up & Up"
"Caitlin Sandoval",Killmeyer's
"Caitlin Sandoval","Spring Lounge"
"Callie Marks","Aldo Sohm Wine Bar"
"Callie Marks","Spring Lounge"
"Callie Marks","Townhouse of New York"
"Callie Owen","Aldo Sohm Wine Bar"
"Callie Owen",Mayahuel
"Calvin Norton","169 Bar"
"Calvin Norton","Spring Lounge"
"Calvin Rangel","Death & Company"
"Calvin Rangel","The Dead Rabbit"
"Calvin Rangel","The Pony Bar"
"Calvin Robbins","169 Bar"
"Calvin Robbins",7B
"Calvin Robbins","Blue Bar"
"Calvin Robbins","Raines Law Room"
"Cameron Allen",Killmeyer's
"Cameron Vincent","The Wayland"
"Camille Campos","Raines Law Room"
"Camille Steele","Bar Nine"
"Camille Steele","Copper & Oak"
"Camille Steele",Nitecap
"Camille Valenzuela","169 Bar"
"Camille Valenzuela","Clover Club"
"Camille Valenzuela","Raines Law Room"
"Candace Bowman","Beauty Bar"
"Candace Bowman",Bua
"Candace Bowman","Sugar East"
"Candace Bowman","The Ship"
"Candace Cisneros","McSorley's Old Ale House"
"Candace Norman","KGB Bar"
"Candace Norman",Mona's
"Candace Norman","Old Town Bar"
"Candace Serrano","Slowly Shirley"
"Candice Cantu","Townhouse of New York"
"Candy Blevins",Bua
"Candy Blevins",d.b.a.
"Candy Blevins",Primo's
"Candy Joyce","Bronx Alehouse"
"Candy Joyce",LENA
"Candy Joyce","the Campbell"
"Candy Mcdaniel","KGB Bar"
"Candy Mcdaniel",PDT
"Candy Mcdaniel","Raines Law Room"
"Candy Sampson","Copper & Oak"
"Candy Snow",Julius'
"Candy Snow",Nitecap
"Cara Kim","Clockwork Bar"
"Cara Kim","Holiday Cocktail Lounge"
"Cara Kim","The Summit Bar"
"Carey Mccall","The Iron Horse Nyc"
"Carey Mccall",Torst
"Carey Monroe","Pouring Ribbons"
"Carissa Koch","Pegu Club"
"Carla Jacobs",Rudy's
"Carla Jacobs","The 13th Step"
"Carla Jacobs","The Ship"
"Carla Jacobs","Ty Bar"
"Carlene Watkins",Barcade
"Carlo Kaiser","e's Bar"
"Carlo Kaiser",Torst
"Carlo Macdonald",LENA
"Carlo Macdonald","The Pool Lounge"
"Carlo Wheeler",Barcade
"Carlo Wheeler","Bemelmans Bar"
"Carlo Wheeler","KGB Bar"
"Carlo Wheeler",Mona's
"Carlos Bright",Donna
"Carlos Bright","Old Town Bar"
"Carlton Higgins",Apotheke
"Carlton Higgins","Gallow Green"
"Carlton Higgins",Julius'
"Carlton Howe",Donna
"Carly Hunt","169 Bar"
"Carly Hunt",Barcade
"Carly Hunt",Mona's
"Carly Hunt","Pegu Club"
"Carmela Scott","Dear Irving"
"Carmela Scott","Pegu Club"
"Carmela Scott","The Wayland"
"Carmella Baird",Julius'
"Carmella Baird","Tonic Bar"
"Carmella Cooper",Killmeyer's
"Carmella Cooper",PDT
"Carmelo Hobbs","Orange Street"
"Carmen Montgomery","Beauty Bar"
"Carmen Montgomery","The Summit Bar"
"Carmen Ruiz","Blue Bar"
"Carmen Ruiz","Old Town Bar"
"Carmen Ruiz","Raines Law Room"
"Carmen Sanders","Old Town Bar"
"Carmine Ward","Bemelmans Bar"
"Carmine Ward",PDT
"Carmine Ward","Raines Law Room"
"Carol Hobbs","Bronx Alehouse"
"Carol Hobbs","e's Bar"
"Carol Hobbs","The Pony Bar"
"Carol Howard","Blue Bar"
"Carol Howard",Killmeyer's
"Carol Howard","Old Town Bar"
"Carol Howard","Raines Law Room"
"Carol Lane","Phoenix Bar"
"Carolina Garrison","169 Bar"
"Carolina Garrison","Old Town Bar"
"Caroline Logan",Attaboy
"Caroline Logan","The NoMad Bar"
"Caroline Logan","The Summit Bar"
"Caroline Schmidt","Please Don't Tell"
"Caroline Schmidt","Pouring Ribbons"
"Carolyn Christian","Bar Goto"
"Carolyn Moses","Old Town Bar"
"Carolyn Moses","Spring Lounge"
"Carrol Huang","Lee's Tavern"
"Carrol Huang","Old Town Bar"
"Carson Riley","Lucy's a.k.a. Blanche's Tavern"
"Carson Riley","Phoenix Bar"
"Carson Riley","The Iron Horse Nyc"
"Carson Riley",Torst
"Carter Parsons","169 Bar"
"Carter Parsons","Clover Club"
"Carter Parsons",Mayahuel
"Carter Parsons","Spring Lounge"
"Carwyn Ferrell","Dutch Kills"
"Carwyn Ferrell","Pouring Ribbons"
"Cary Bullock","Ear Inn"
"Cary Davenport","Broken Shaker"
"Cary Davenport",Subject
"Cary Hardy",Boxer
"Cary Hardy","Copper & Oak"
"Cary Hardy",Dante
"Cary Watson","Aldo Sohm Wine Bar"
"Cary Watson","Blue Bar"
"Cary Watson","Raines Law Room"
"Cary Watson","The Wayland"
"Casandra Esparza",Dante
"Casandra Perez","Townhouse of New York"
"Casey Greer","The Long Island Bar"
"Casey Singleton","169 Bar"
"Casey Singleton",Donna
"Cassandra Guerrero","Blind Tiger Ale House"
"Cassandra Guerrero","Gallow Green"
"Cassandra Guerrero",Mace
"Cassandra Guerrero","The Honeywell"
"Cassandra Madden","The Central Bar"
"Cassie Hale","Little Branch"
"Cassie Morales","Broken Shaker"
"Cassie Morales",Dante
"Cassie Richmond","Angel's Share"
"Cassie Richmond","Maison Premiere"
"Cassie Richmond","the Campbell"
"Cassie Richmond","The Iron Horse Nyc"
"Catalina Bennett",Mona's
"Catalina Jenkins","Aldo Sohm Wine Bar"
"Catalina Jenkins",PDT
"Catherine Brennan",Apotheke
"Catherine Brennan",Nitecap
"Catherine Brennan",Subject
"Catherine Clarke","King Cole Bar"
"Catherine Clarke","Maison Premiere"
"Cathleen Moran",d.b.a.
"Cathleen Moran","The Central Bar"
"Cathleen Novak","Bar Goto"
"Cathleen Novak","Bar Sixtyfive"
"Cathleen Novak",Dante
"Cathleen Wagner","169 Bar"
"Cathleen Wagner","Spring Lounge"
"Cathleen Wagner","The Wayland"
"Cathryn Braun",7B
"Cathryn Braun","Dear Irving"
"Cathryn Cunningham","Lucy's a.k.a. Blanche's Tavern"
"Cathryn Cunningham","The Dead Rabbit"
"Cathryn Cunningham","Until Tomorrow"
"Cathryn Noble","Bemelmans Bar"
"Cathryn Noble","Raines Law Room"
"Cathryn Parsons","Blue Bar"
"Cathryn Parsons","Lee's Tavern"
"Cathryn Parsons","Pegu Club"
"Cathy Cunningham","Bar Nine"
"Cecil Adkins","Amor y Amargo"
"Cecil Santiago","Death & Company"
"Cecile Kent","Rose Bar"
"Cecilia Conrad",Boxer
"Cecilia Mathis","Death & Company"
"Cecilia Mathis","Ear Inn"
"Cecilia Mathis","Zinc Bar"
"Cedric Galvan",LENA
"Cedric Galvan","Pouring Ribbons"
"Cedric Holder","e's Bar"
"Cedric Holder","Pouring Ribbons"
"Cedric Wilkins","169 Bar"
"Cedric Wilkins",Barcade
"Cedric Wilkins","Dear Irving"
"Cedric Wilkins",Donna
"Cedrick Baker","Orange Street"
"Cedrick Baker","Rose Bar"
"Cedrick Gonzalez","The Long Island Bar"
"Celeste Escobar",Donna
"Celeste Hardy",Barcade
"Celeste Hardy",Mayahuel
"Celeste Hardy","Townhouse of New York"
"Celia Bray","Bemelmans Bar"
"Celia Bray",Killmeyer's
"Celia Strong",Attaboy
"Celia Strong","Beauty Bar"
"Celia Strong",Primo's
"Celina Barr",Attaboy
"Celina Barr","Rainbow Room"
"Celyn Guy","e's Bar"
"Celyn Guy","the Campbell"
"Celyn Guy","Zinc Bar"
"Cesar Berger","Copper & Oak"
"Cesar Berger","The Honeywell"
"Cesar Farmer",Killmeyer's
"Cesar Farmer","The Wayland"
"Cesar Madden","Blind Tiger Ale House"
"Cesar Madden","Orange Street"
"Cesar Melton","Connolly's Bar"
"Chad Daniel","Slowly Shirley"
"Chad Mendoza","Orange Street"
"Chadwick Davies",Nitecap
"Chadwick Davies","Slowly Shirley"
"Chadwick Davies","The Honeywell"
"Chadwick Harrell","Bar Nine"
"Chadwick Harrell",Julius'
"Chaim Witt","Broken Shaker"
"Chaim Witt",Nitecap
"Chaim Witt","Orange Street"
"Chance Cherry","Dive Bar"
"Chance Cherry","The Dead Rabbit"
"Chance Gaines","Old Town Bar"
"Chance Gaines","Townhouse of New York"
"Chance Owen",7B
"Chance Owen","Aldo Sohm Wine Bar"
"Chance Owen","Townhouse of New York"
"Charity Crosby",Attaboy
"Charity Crosby","The NoMad Bar"
"Charity Decker","Aldo Sohm Wine Bar"
"Charity Decker","Clover Club"
"Charity Decker",Mona's
"Charlene Randall","Dear Irving"
"Charlene Solomon",7B
"Charlene Solomon",Mayahuel
"Charles Fritz","Bemelmans Bar"
"Charles Fritz",PDT
"Charles Fritz","Townhouse of New York"
"Charley Carey",7B
"Charley Carey","Connolly's Bar"
"Charley Carey","KGB Bar"
"Charley Carey","Pegu Club"
"Charley Harris",7B
"Charley Harris","Lee's Tavern"
"Charley Harris","Raines Law Room"
"Charley Reese",LENA
"Charley Wilkinson","Bemelmans Bar"
"Charley Wilkinson",Killmeyer's
"Charley Wilkinson",Mona's
"Charlie May",Donna
"Charlotte Raymond","Lee's Tavern"
"Charlotte Raymond","Spring Lounge"
"Chas Ashley","Bar Sixtyfive"
"Chas Ashley","Keats Bar"
"Chas Ashley",Mace
"Chas Ashley","Tonic Bar"
"Chas Meadows",Leyenda
"Chas Meadows",Subject
"Chas Walton","Connolly's Bar"
"Chas Walton","Townhouse of New York"
"Chasity Hutchinson","Townhouse of New York"
"Chasity Travis","King Cole Bar"
"Chasity Travis",Torst
"Chauncey Joyce",PDT
"Chauncey Medina","Aldo Sohm Wine Bar"
"Chauncey Medina","KGB Bar"
"Chauncey Medina",Killmeyer's
"Cheri Lambert","Death & Company"
"Cheri Randolph",Bua
"Cheri Randolph","The Central Bar"
"Cheri Randolph","The Summit Bar"
"Cherie Ashley",Donna
"Cherie Ashley","KGB Bar"
"Cherry Day","Bar Sixtyfive"
"Cherry Day","The Counting Room"
"Cherry Day","The Up & Up"
"Cherry Deleon","Broken Shaker"
"Cherry Dennis","Aldo Sohm Wine Bar"
"Cherry Dennis",Killmeyer's
"Cherry Fry",7B
"Cherry Fry","Blue Bar"
"Cherry Fry",Mayahuel
"Cherry Fry","Old Town Bar"
"Cherry Mack","Connolly's Bar"
"Cherry Mack","Lee's Tavern"
"Chester Carrillo","169 Bar"
"Chester Carrillo","Dear Irving"
"Chester Carrillo","Townhouse of New York"
"Chester Moses","Dear Irving"
"Chester Underwood",d.b.a.
"Chester Walsh","Ear Inn"
"Chester Walsh","The Pool Lounge"
"Chet Ferrell","McSorley's Old Ale House"
"Chet Ferrell","The NoMad Bar"
"Chet Ferrell","Ty Bar"
"Chet Mason","Alewife Queens"
"Chet Mason",Rudy's
"Chi Armstrong",Barcade
"Chong Harmon","Aldo Sohm Wine Bar"
"Chong Harmon",Mayahuel
"Chong Harmon","Old Town Bar"
"Chris Dunlap",7B
"Chris Dunlap","Connolly's Bar"
"Chris Dunlap",PDT
"Christa Stone","Connolly's Bar"
"Christa Summers","Aldo Sohm Wine Bar"
"Christa Summers","Lee's Tavern"
"Christa Summers","Raines Law Room"
"Christa Summers","The Wayland"
"Christi Ellis","Townhouse of New York"
"Christi Love","ABC Beer Co."
"Christi Love","Bohemian Hall & Beer Garden"
"Christi Love","The Iron Horse Nyc"
"Christi Petersen",Barcade
"Christi Petersen","Blue Bar"
"Christi Walsh","Bemelmans Bar"
"Christi Walsh","Pegu Club"
"Christian Velazquez",d.b.a.
"Christie Ibarra",Subject
"Christie Ibarra","The Counting Room"
"Christina Lam",Attaboy
"Christina Lam",d.b.a.
"Christina Lam",Primo's
"Christina Matthews",d.b.a.
"Christina Matthews","Donovan's Pub"
"Christina Matthews",Primo's
"Christine Bryan",BlackTail
"Christoper Dickson",7B
"Christoper Dickson","Townhouse of New York"
"Christopher Travis","Alewife Queens"
"Christopher Travis",Nowhere
"Christy Barron",Attaboy
"Christy Barron","The Central Bar"
"Christy Barron","The Long Island Bar"
"Christy Fernandez","The Central Bar"
"Christy Fernandez","The Ship"
"Christy Hull","Blue Bar"
"Christy Hull",Donna
"Christy Hull","Lee's Tavern"
"Christy Macias","Pegu Club"
"Christy Wade","Broken Shaker"
"Christy Wade","Orange Street"
"Christy Wade",Subject
"Chrystal Anthony","Dear Irving"
"Chuck Jordan",7B
"Chuck Jordan","KGB Bar"
"Chuck Jordan",PDT
"Chuck Jordan","Pegu Club"
"Chuck Turner","Bar Sixtyfive"
"Chuck Turner","Broken Shaker"
"Chuck Turner","Orange Street"
"Chuck Turner","Slowly Shirley"
"Chung Hunt","Dutch Kills"
"Chung Villegas","169 Bar"
"Chung Villegas","KGB Bar"
"Chung Villegas",Mona's
"Chung Villegas","Raines Law Room"
"Cienna Finch","169 Bar"
"Cindy Barry","Bemelmans Bar"
"Cindy Barry","Spring Lounge"
"Cindy Hayden","169 Bar"
"Cindy Lawrence","Keats Bar"
"Cindy Owens","Old Town Bar"
"Clair Bruce","Clover Club"
"Clair Bruce",Donna
"Clair Bruce",Killmeyer's
"Clair Hayes",d.b.a.
"Clair Hayes","The Ginger Man"
"Claire Davidson","Angel's Share"
"Claire Davidson","The Dead Rabbit"
"Claire Davidson","The Pony Bar"
"Claire Davidson","Until Tomorrow"
"Claire Frey",Boxer
"Claire Swanson",BlackTail
"Claire Weeks","KGB Bar"
"Claire Weeks","Raines Law Room"
"Clara Choi","Dive Bar"
"Clara Choi","King Cole Bar"
"Clara Harrison","Connolly's Bar"
"Clara Harrison","Townhouse of New York"
"Clare Jimenez","169 Bar"
"Clare Jimenez","Aldo Sohm Wine Bar"
"Clare Jimenez",Mayahuel
"Clare Jimenez","Raines Law Room"
"Clare Reeves","Aldo Sohm Wine Bar"
"Clare Reeves",Killmeyer's
"Clare Reeves",Mayahuel
"Clarice Hardy","Pegu Club"
"Clarice Hardy","Townhouse of New York"
"Clarice Raymond",Apotheke
"Clarice Raymond",Dante
"Clarice Raymond","Orange Street"
"Clarice Raymond","The Up & Up"
"Claud Gallegos","Blind Tiger Ale House"
"Claud Gallegos","Gallow Green"
"Claud Gallegos","The Up & Up"
"Claude Butler","Aldo Sohm Wine Bar"
"Claudette Heath",Donna
"Claudette Heath",Mona's
"Claudette Terrell","Dutch Kills"
"Claudette Terrell","Ear Inn"
"Claudette Terrell","The Dead Rabbit"
"Claudia Aguilar",7B
"Claudia Aguilar",Barcade
"Claudia Huang",Mace
"Claudia Huang","Tonic Bar"
"Claudia Maynard","Bar Sixtyfive"
"Claudia Maynard",Boxer
"Claudia Maynard",Dante
"Claudine Edwards",Leyenda
"Claudine Edwards","Rose Bar"
"Claudine Edwards","The Counting Room"
"Clay Lee",Killmeyer's
"Clay Lee","Townhouse of New York"
